time,lead_created_count,stack_adapt_impressions,stack_adapt_spend,ttd_impressions,ttd_spend,total_revenue
2026-01-01,23,0,0,339865,1275.30,27600
2026-01-02,42,0,0,181076,592.09,50400
2026-01-03,47,0,0,200443,346.61,56400
2026-01-04,26,0,0,128581,310.92,31200
2026-01-05,36,103377,1595.61,148348,1049.16,43200
2026-01-06,32,116586,1561.2,153727,1366.79,38400
2026-01-07,46,138965,1826.95,143879,851.03,55200
2026-01-08,25,138270,1814.23,149128,1210.24,30000
2026-01-09,32,137140,1840.75,158150,1483.73,38400
2026-01-10,40,134328,1788.37,128462,1259.56,48000
2026-01-11,30,136845,1801.07,153287,1444.53,36000
2026-01-12,47,134886,1813.76,141340,1226.14,56400
2026-01-13,36,135204,1807.23,164196,1386.94,43200
2026-01-14,37,133904,1799.94,152053,1346.90,44400
2026-01-15,38,131661,1699.66,129533,951.96,45600
2026-01-16,27,134836,1835.85,109924,574.19,32400
2026-01-17,47,139441,1857.31,102646,532.65,56400
2026-01-18,39,137203,1842.16,108503,573.98,46800
2026-01-19,29,135604,1855.48,103004,583.69,34800
2026-01-20,32,135561,1852.37,113253,569.35,38400
2026-01-21,26,139504,1877.25,112816,493.44,31200
2026-01-22,26,136378,1807.66,134797,1040.52,31200
2026-01-23,23,183136,1844.03,137714,1600.32,27600
2026-01-24,30,211715,1863.61,180420,2646.78,36000
2026-01-25,32,211375,1816.08,187850,2508.60,38400
2026-01-26,34,196805,1843.43,280187,3005.97,40800
2026-01-27,36,204251,1833.88,282758,3162.13,43200
2026-01-28,39,207824,1821.16,339646,3758.29,46800
2026-01-29,22,214065,1861.44,290131,3603.39,26400
2026-01-30,38,207392,1842.61,337201,3722.36,45600
2026-01-31,37,233694,1909.42,289756,3327.61,44400
2026-02-01,39,155579,1267.3,319948,3542.87,46800
2026-02-02,24,160957,1289.32,304747,3327.13,28800
2026-02-03,36,139857,1283.63,238892,2371.54,43200
2026-02-04,37,157329,1289.41,165258,1140.04,44400
2026-02-05,32,147488,1294.68,140543,996.49,38400
2026-02-06,35,155384,1299.63,129855,1122.38,42000
2026-02-07,43,143356,1225.9,99942,977.50,51600
2026-02-08,35,148742,1244.44,114067,1119.57,42000
2026-02-09,35,151016,1289.33,102321,1014.91,42000
2026-02-10,24,137901,1233.97,111004,1081.97,28800
2026-02-11,26,148553,1275.55,98787,970.50,31200
2026-02-12,32,138196,1266.63,107053,1017.19,38400
2026-02-13,22,138504,1306.44,102299,1063.78,26400
2026-02-14,20,133999,1310.67,92867,1025.58,24000
2026-02-15,19,142075,1307.43,112345,1215.10,22800
2026-02-16,33,146078,1341.95,84381,936.48,39600
2026-02-17,31,135206,1291.03,104053,1150.41,37200
2026-02-18,36,150060,1312.6,99320,950.47,43200
2026-02-19,49,137449,1326.03,99232,1149.48,58800
2026-02-20,28,133830,1302.71,114030,1035.05,33600
2026-02-21,57,154096,1343.69,86392,954.27,68400
2026-02-22,42,142529,1320.47,112775,1065.16,50400
2026-02-23,48,150812,1337.52,95905,1004.42,57600
2026-02-24,49,139100,1297.83,91483,906.37,58800
2026-02-25,54,158261,1362.16,91798,1235.78,64800
2026-02-26,41,147450,1333.09,131325,1153.26,49200
2026-02-27,54,163591,1361.17,125290,1276.98,64800
2026-02-28,53,175132,1401.63,82011,1025.54,63600
2026-03-01,57,138131,1341.83,101894,1234.89,68400
2026-03-02,64,132372,1349.26,89766,1092.56,76800
2026-03-03,54,135181,1338.79,94026,1271.63,64800
2026-03-04,61,115216,1241.49,88050,1090.16,73200
2026-03-05,69,102593,1301.46,76390,1124.12,82800
2026-03-06,62,99955,1310.88,85014,1242.67,74400
2026-03-07,77,113773,1233.8,72188,1076.97,92400
2026-03-08,87,145061,1226.19,81031,1174.70,104400
2026-03-09,78,106158,1292.37,75327,1053.02,93600
2026-03-10,62,92407,1276.25,86208,891.46,74400
2026-03-11,77,97399,1294.76,65938,319.54,92400
2026-03-12,70,98626,1273.98,67501,310.60,84000
2026-03-13,62,161940,1278.98,61360,280.57,74400
2026-03-14,56,156796,1289.44,50573,241.91,67200
2026-03-15,65,142911,1284.08,63091,296.19,78000
2026-03-16,63,122114,1290.46,53876,253.13,75600
2026-03-17,62,132925,1336.11,63229,297.21,74400
2026-03-18,65,146420,1293.52,55177,245.72,78000
2026-03-19,65,132134,1321.02,59348,274.59,78000
2026-03-20,60,130923,1315.08,70903,535.67,72000
2026-03-21,62,163999,1328.11,85998,1479.19,74400
2026-03-22,64,159345,1325.39,90719,1394.88,76800
2026-03-23,61,143838,1332.14,113303,2503.87,73200
2026-03-24,78,143754,1327.35,104328,2148.32,93600
2026-03-25,61,119708,1310.78,108973,2268.54,73200
2026-03-26,50,129396,1351.44,106345,2301.17,60000
2026-03-27,53,128068,1340.99,80785,1262.93,63600
2026-03-28,71,205318,1349.76,54753,277.43,85200
2026-03-29,70,252924,1388.64,58758,296.86,84000
2026-03-30,96,149401,1428.42,33576,116.31,115200
2026-03-31,70,151025,1527.15,39041,144.74,84000
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
