time,lead_created_count,display_impressions,display_spend,ctv_impressions,ctv_spend,olv_impressions,olv_spend,google_ads_impressions,google_ads_spend,meta_impressions,meta_spend,total_revenue,organic_impressions,organic_spend
2025-01-01,23,65337,368.79,17243,445.23,0,0,"7,683",100.3,0,0,27600,379,379
2025-01-02,27,59804,349.41,17523,448.29,0,0,"7,110",163.58,0,0,32400,424,424
2025-01-03,26,74449,432.26,17554,446.66,0,0,"15,044",189.04,0,0,31200,399,399
2025-01-04,39,58560,344.91,17514,446.24,0,0,"26,780",531.75,0,0,46800,435,435
2025-01-05,22,58856,343.16,17540,446.23,0,0,"36,517",343.92,0,0,26400,415,415
2025-01-06,25,58492,343.31,17471,444.92,0,0,"31,246",352.49,0,0,30000,412,412
2025-01-07,17,58923,345.07,17570,448.04,0,0,"33,296",323.44,0,0,20400,439,439
2025-01-08,23,59043,345.45,17531,445.06,0,0,"27,708",310.64,0,0,27600,369,369
2025-01-09,21,59345,348.74,17533,447.57,0,0,"33,388",427.69,0,0,25200,499,499
2025-01-10,28,58961,347.1,18110,461.54,0,0,"33,507",257.72,0,0,33600,429,429
2025-01-11,33,58664,343.2,17512,446.53,0,0,"69,264",1026.66,0,0,39600,529,529
2025-01-12,31,58442,343.36,17455,446.24,0,0,"58,107",661.53,0,0,37200,413,413
2025-01-13,34,59066,343.78,17560,448.11,0,0,"54,767",590.94,0,0,40800,444,444
2025-01-14,35,58921,344.59,17661,449.92,0,0,"49,823",663.28,0,0,42000,442,442
2025-01-15,28,59738,351.3,17446,444.82,0,0,"55,308",788.73,0,0,33600,549,549
2025-01-16,26,59005,345.16,15509,444.92,0,0,"55,916",814.59,0,0,31200,587,587
2025-01-17,30,58734,345.13,15913,446.06,0,0,"50,338",808.81,0,0,36000,505,505
2025-01-18,26,58342,343.72,15829,445.17,0,0,"47,946",795.8,0,0,31200,594,594
2025-01-19,29,58720,343.01,16043,449,0,0,"38,594",664.9,0,0,34800,595,595
2025-01-20,25,59393,348.68,16132,452.18,0,0,"41,361",689.02,0,0,30000,511,511
2025-01-21,33,59147,347.64,15979,447.23,0,0,"30,911",599.76,0,0,39600,542,542
2025-01-22,29,58723,345.43,15973,447.91,0,0,"27,789",455.94,0,0,34800,536,536
2025-01-23,24,58911,347.78,15920,446.31,0,0,"33,832",558.6,0,0,28800,625,625
2025-01-24,29,58925,346.3,15976,448.06,0,0,"36,701",687.91,0,0,34800,537,537
2025-01-25,34,60007,352.99,16192,453.48,0,0,"45,258",641.8,0,0,40800,608,608
2025-01-26,27,58956,347.9,15808,444.37,0,0,"43,502",573.14,0,0,32400,596,596
2025-01-27,26,58201,342.47,15951,446.3,0,0,"33,747",533.52,0,0,31200,614,614
2025-01-28,28,58512,344.94,15980,447.32,0,0,"31,749",499.73,0,0,33600,555,555
2025-01-29,27,58221,343.3,15960,446.95,0,0,"36,451",565.37,0,0,32400,575,575
2025-01-30,26,58861,346,16041,449.34,0,0,"35,707",494.37,0,0,31200,639,639
2025-01-31,28,59206,348.58,15842,444.44,0,0,"37,309",538.31,0,0,33600,560,560
2025-02-01,37,58385,343.77,15849,444.45,0,0,"49,897",683.84,0,0,44400,708,708
2025-02-02,40,59710,351.47,15851,443.69,0,0,"44,510",633.59,0,0,48000,644,644
2025-02-03,32,58911,346.87,15918,445.56,0,0,"32,480",573.54,0,0,38400,586,586
2025-02-04,33,58288,343.87,15852,444.01,0,0,"33,178",714.28,0,0,39600,553,553
2025-02-05,29,58896,347.1,16090,450.95,0,0,"33,273",575.39,0,0,34800,573,573
2025-02-06,27,58196,342.75,15813,443.35,0,0,"23,167",516.14,0,0,32400,731,731
2025-02-07,18,58575,344.74,15793,445.82,0,0,"22,381",462.16,0,0,21600,550,550
2025-02-08,32,58163,342.66,15644,448.44,0,0,"29,190",510.45,0,0,38400,697,697
2025-02-09,33,58221,343.42,15720,450.96,0,0,"27,356",459.16,0,0,39600,678,678
2025-02-10,27,58976,347.62,15472,443.79,0,0,"27,560",505.29,0,0,32400,728,728
2025-02-11,33,58104,342.33,15987,449.04,0,0,"28,087",477.89,0,0,39600,681,681
2025-02-12,30,58813,346.1,15771,444.37,0,0,"26,928",533.69,0,0,36000,628,628
2025-02-13,27,58066,341.94,16139,449.19,0,0,"30,659",555.85,0,0,32400,777,777
2025-02-14,25,58149,342.5,15900,445.28,0,0,"28,098",550.02,0,0,30000,609,609
2025-02-15,32,58256,342.99,15802,442.99,0,0,"34,119",587.11,0,0,38400,810,810
2025-02-16,33,58096,342.61,15777,443.72,0,0,"28,211",517.43,0,0,39600,680,680
