time,lead_created_count,display_impressions, display_spend ,ctv_impressions, ctv_spend ,olv_impressions, olv_spend ,google_ads_impressions,google_ads_spend, meta_impressions , meta_spend ,avg_lead_value,organic_impressions_search_console
1/1/21,10,0,0,0,0,0,0,0,0,0,0,1200,85548
1/2/21,10,0,0,0,0,0,0,0,0,0,0,1200,85548
1/3/21,23,0,0,0,0,0,0,0,0,0,0,1200,85548
1/4/21,28,0,0,0,0,0,0,0,0,0,0,1200,85548
1/5/21,37,0,0,0,0,0,0,0,0,0,0,1200,85548
1/6/21,27,0,0,0,0,0,0,0,0,0,0,1200,85548
1/7/21,24,0,0,0,0,0,0,0,0,0,0,1200,85548
1/8/21,14,0,0,0,0,0,0,0,0,0,0,1200,85548
1/9/21,24,0,0,0,0,0,0,0,0,0,0,1200,85548
1/10/21,40,0,0,0,0,0,0,0,0,0,0,1200,85548
1/11/21,33,0,0,0,0,0,0,0,0,0,0,1200,85548
1/12/21,24,0,0,0,0,0,0,0,0,0,0,1200,85548
1/13/21,31,0,0,0,0,0,0,0,0,0,0,1200,85548
1/14/21,28,0,0,0,0,0,0,0,0,0,0,1200,85548
1/15/21,22,0,0,0,0,0,0,0,0,0,0,1200,85548
1/16/21,26,0,0,0,0,0,0,0,0,0,0,1200,85548
1/17/21,24,0,0,0,0,0,0,0,0,0,0,1200,85548
1/18/21,51,0,0,0,0,0,0,0,0,0,0,1200,85548
1/19/21,17,0,0,0,0,0,0,0,0,0,0,1200,85548
1/20/21,13,0,0,0,0,0,0,0,0,0,0,1200,85548
1/21/21,28,0,0,0,0,0,0,0,0,0,0,1200,85548
1/22/21,19,0,0,0,0,0,0,0,0,0,0,1200,85548
1/23/21,28,0,0,0,0,0,0,0,0,0,0,1200,85548
1/24/21,22,0,0,0,0,0,0,0,0,0,0,1200,85548
1/25/21,39,0,0,0,0,0,0,0,0,0,0,1200,85548
1/26/21,30,0,0,0,0,0,0,0,0,0,0,1200,85548
1/27/21,32,0,0,0,0,0,0,0,0,0,0,1200,85548
1/28/21,29,0,0,0,0,0,0,0,0,0,0,1200,85548
1/29/21,33,0,0,0,0,0,0,0,0,0,0,1200,85548
1/30/21,17,0,0,0,0,0,0,0,0,0,0,1200,85548
1/31/21,28,0,0,0,0,0,0,0,0,0,0,1200,85548
