time,google_impressions,display_impressions,ctv_impressions,meta_impressions,google_spend, display_spend,ctv_spend,meta_spend,lead_created_count,avg_lead_value,total_revenue,organic_impressions_searchconsole
2023-01-01,6216,111155,0,0,297.28,226.35,0,0,11,1200,13200,85548
2023-01-02,8496,102492,0,0,451.71,216.81,0,0,25,1200,30000,85548
2023-01-03,20706,98120,0,0,600.5,219.17,0,0,29,1200,34800,85548
2023-01-04,11659,111176,0,0,538.51,214.18,0,0,30,1200,36000,85548
2023-01-05,21451,120048,0,0,516.72,211.96,0,0,34,1200,40800,85548
2023-01-06,11805,120290,0,0,564.15,214.34,0,0,40,1200,48000,85548
2023-01-07,15478,118334,0,0,631.04,208.23,0,0,42,1200,50400,85548
2023-01-08,11193,112072,0,0,633.15,202.81,0,0,45,1200,54000,85548
2023-01-09,9610,97882,0,0,539.04,215.74,0,0,50,1200,60000,85548
2023-01-10,9997,102248,0,0,553.21,227.07,0,0,38,1200,45600,85548
2023-01-11,10149,107136,0,0,549.89,217.77,0,0,43,1200,51600,85548
2023-01-12,12612,95400,0,0,514.89,214.79,0,0,38,1200,45600,85548
2023-01-13,10646,95118,0,0,612.39,251.55,0,0,39,1200,46800,85548
2023-01-14,8665,102848,0,0,558.57,273.69,0,0,23,1200,27600,85548
2023-01-15,8037,105940,0,0,561.64,281.44,0,0,44,1200,52800,85548
2023-01-16,8926,96662,0,0,536.36,282.29,0,0,68,1200,81600,85548
2023-01-17,7721,98967,0,0,536.01,279.1,0,0,51,1200,61200,85548
2023-01-18,6248,108936,0,0,527.53,295.65,0,0,51,1200,61200,85548
2023-01-19,7515,79762,0,0,517.52,192.83,0,0,37,1200,44400,85548
2023-01-20,7233,101545,0,0,540.84,258.02,0,0,39,1200,46800,85548
2023-01-21,7267,111932,0,0,494.5,281.63,0,0,53,1200,63600,85548
2023-01-22,9276,112404,0,0,521.11,266.07,0,0,52,1200,62400,85548
2023-01-23,7810,102567,0,0,588.76,283.94,0,0,68,1200,81600,85548
2023-01-24,8964,98981,0,0,537.31,284.08,0,0,51,1200,61200,85548
2023-01-25,8921,107788,0,0,500.04,277.14,0,0,56,1200,67200,85548
2023-01-26,8444,106186,0,0,548.62,269.66,0,0,39,1200,46800,85548
2023-01-27,8781,108006,0,0,470.97,272.29,0,0,43,1200,51600,85548
2023-01-28,7828,115485,0,0,521.03,261.14,0,0,39,1200,46800,85548
2023-01-29,8143,127755,0,0,516.19,285.63,0,0,32,1200,38400,85548
2023-01-30,7324,123156,0,0,522.36,267.84,0,0,47,1200,56400,85548
2023-01-31,7737,133343,0,0,446.9,261.57,0,0,50,1200,60000,85548
2023-02-01,9718,106130,0,0,414.34,186.02,0,0,43,1200,51600,85548
2023-02-02,8484,119865,0,0,445.42,186.64,0,0,51,1200,61200,85548
2023-02-03,10708,126020,0,0,455.92,194.55,0,0,43,1200,51600,85548
2023-02-04,9214,120789,0,0,555.53,188.6,0,0,39,1200,46800,85548
2023-02-05,8643,110912,0,0,492.39,182.28,0,0,49,1200,58800,85548
2023-02-06,9720,95619,0,0,556.89,173.92,0,0,52,1200,62400,85548
2023-02-07,7883,93568,0,0,567.77,187.67,0,0,53,1200,63600,85548
2023-02-08,8898,100164,0,0,485.6,176.36,0,0,41,1200,49200,85548
2023-02-09,7350,91237,0,0,500.07,167.97,0,0,43,1200,51600,85548
2023-02-10,9448,89899,0,0,418.21,183.45,0,0,42,1200,50400,85548
2023-02-11,8008,100499,0,0,501.66,189.27,0,0,45,1200,54000,85548
2023-02-12,7166,108227,0,0,384.16,183.92,0,0,45,1200,54000,85548
2023-02-13,6768,96349,0,0,498.38,182.76,0,0,34,1200,40800,85548
2023-02-14,6793,100162,0,0,431.65,181.16,0,0,47,1200,56400,85548
2023-02-15,6684,122078,0,0,491.44,181.24,0,0,40,1200,48000,85548
2023-02-16,5424,110932,0,0,455.28,175.81,0,0,56,1200,67200,85548
2023-02-17,5829,116898,0,0,389.33,190.76,0,0,50,1200,60000,85548
2023-02-18,4773,101435,0,0,355.87,187.16,0,0,59,1200,70800,85548
2023-02-19,5617,107091,0,0,310.42,176.17,0,0,55,1200,66000,85548
2023-02-20,7784,96406,0,0,452.39,175.32,0,0,54,1200,64800,85548
2023-02-21,9878,107630,0,0,428.09,190.19,0,0,58,1200,69600,85548
2023-02-22,9874,123161,0,0,426.28,187.6,0,0,41,1200,49200,85548
2023-02-23,9735,120326,0,0,353.78,175.59,0,0,43,1200,51600,85548
2023-02-24,9104,113358,0,0,412.18,176.84,0,0,48,1200,57600,85548
2023-02-25,8912,103250,0,0,528.91,177.47,0,0,62,1200,74400,85548
2023-02-26,2966,104036,0,0,375.07,181.28,0,0,46,1200,55200,85548
2023-02-27,3636,93875,0,0,349.24,180.62,0,0,60,1200,72000,85548
2023-02-28,4207,91765,0,0,329.38,181.16,0,0,63,1200,75600,85548
2023-03-01,4234,109423,0,0,476.86,184.54,0,0,71,1200,85200,85548
2023-03-02,8135,83293,0,0,434.44,139.46,0,0,70,1200,84000,85548
2023-03-03,5814,107294,0,0,374.64,177.36,0,0,65,1200,78000,85548
2023-03-04,4615,105603,0,0,393.84,181.88,0,0,60,1200,72000,85548
2023-03-05,3782,94182,0,0,318.05,174.83,0,0,71,1200,85200,85548
2023-03-06,4549,90198,0,0,375.01,165.32,0,0,65,1200,78000,85548
2023-03-07,4327,86706,0,0,403.81,171.8,0,0,64,1200,76800,85548
2023-03-08,3956,91408,0,0,353.2,169.15,0,0,71,1200,85200,85548
2023-03-09,4052,94334,0,0,372.8,161.95,0,0,62,1200,74400,85548
2023-03-10,4171,87001,0,0,378.26,171.79,0,0,69,1200,82800,85548
2023-03-11,4184,83692,0,0,354.09,167.4,0,0,63,1200,75600,85548
2023-03-12,4007,79807,0,0,341.86,167.36,0,0,52,1200,62400,85548
2023-03-13,4387,87004,0,0,371.81,165.53,0,0,73,1200,87600,85548
2023-03-14,5919,82253,0,0,461.1,171.5,0,0,69,1200,82800,85548
2023-03-15,6452,79049,0,0,615.88,167.07,0,0,80,1200,96000,85548
2023-03-16,5798,71533,0,0,595.05,167.81,0,0,67,1200,80400,85548
2023-03-17,6322,77512,0,0,544.22,169.08,0,0,68,1200,81600,85548
2023-03-18,5858,72222,0,0,533.4,174.67,0,0,79,1200,94800,85548
2023-03-19,5848,74020,0,0,507.38,168.62,0,0,66,1200,79200,85548
2023-03-20,5996,72405,0,0,557.24,174.37,0,0,107,1200,128400,85548
2023-03-21,6136,77470,0,0,574.91,180.5,0,0,101,1200,121200,85548
2023-03-22,6240,82858,0,0,607.4,170.27,0,0,100,1200,120000,85548
2023-03-23,7183,78514,0,0,528.36,168.2,0,0,76,1200,91200,85548
2023-03-24,6508,72026,0,0,478.74,183.95,0,0,84,1200,100800,85548
2023-03-25,6955,45623,0,0,549.41,115.2,0,0,75,1200,90000,85548
2023-03-26,6777,24899,0,0,535.82,77.85,0,0,82,1200,98400,85548
2023-03-27,6752,16561,0,0,585.13,35.87,0,0,122,1200,146400,85548
2023-03-28,6297,16605,0,0,532.4,36.5,0,0,114,1200,136800,85548
2023-03-29,6304,21742,0,0,528.1,35.2,0,0,104,1200,124800,85548
2023-03-30,5919,23785,0,0,428.12,36.46,0,0,97,1200,116400,85548
2023-03-31,6152,21568,0,0,428.98,35.05,0,0,72,1200,86400,85548
2023-04-01,5990,20629,0,0,327.6,37.46,0,0,84,1200,100800,85548
2023-04-02,5892,9516,0,0,350.16,17.61,0,0,96,1200,115200,85548
2023-04-03,10246,432,0,0,365.39,5.36,0,0,116,1200,139200,85548
2023-04-04,7081,502,0,0,347.85,6.27,0,0,134,1200,160800,85548
2023-04-05,5945,453,0,0,443.85,5.92,0,0,134,1200,160800,85548
2023-04-06,5828,516,0,0,423.05,5.11,0,0,105,1200,126000,85548
2023-04-07,61648,534,0,0,703.72,4.91,0,0,97,1200,116400,85548
2023-04-08,28284,476,0,0,613.35,6.96,0,0,106,1200,127200,85548
2023-04-09,7005,343,0,0,389.17,4.95,0,0,89,1200,106800,85548
2023-04-10,6224,510,0,0,440.87,12.87,0,0,126,1200,151200,85548
2023-04-11,6039,1548,0,0,411.16,46.32,0,0,143,1200,171600,85548
2023-04-12,6731,791,0,0,422.94,11.12,0,0,137,1200,164400,85548
2023-04-13,5828,230,0,0,364.52,3.3,0,0,146,1200,175200,85548
2023-04-14,7666,665,0,0,467.4,8.28,0,0,117,1200,140400,85548
2023-04-15,6754,256,0,0,540.72,4.56,0,0,111,1200,133200,85548
2023-04-16,5526,241,0,0,423.09,5.39,0,0,131,1200,157200,85548
2023-04-17,6412,278,0,0,401.14,4.31,0,0,179,1200,214800,85548
2023-04-18,5633,335,0,0,421.71,5.74,0,0,136,1200,163200,85548
2023-04-19,6129,342,0,0,443.09,4.68,0,0,124,1200,148800,85548
2023-04-20,5774,413,0,0,367.88,5.31,0,0,103,1200,123600,85548
2023-04-21,5612,613,0,0,457.88,5.53,0,0,85,1200,102000,85548
2023-04-22,6908,530,0,0,444.76,5.18,0,0,104,1200,124800,85548
2023-04-23,5530,378,0,0,484.88,3.47,0,0,98,1200,117600,85548
2023-04-24,6179,624,0,0,423.1,5.19,0,0,126,1200,151200,85548
2023-04-25,5096,706,0,0,398.94,6.58,0,0,147,1200,176400,85548
2023-04-26,5101,565,0,0,330.9,4.96,0,0,96,1200,115200,85548
2023-04-27,4558,550,0,0,315.26,4.56,0,0,106,1200,127200,85548
2023-04-28,4298,604,0,0,294.74,5.61,0,0,92,1200,110400,85548
2023-04-29,4813,629,0,0,365.83,5.7,0,0,76,1200,91200,85548
2023-04-30,4069,496,0,0,346.34,5.05,0,0,86,1200,103200,85548
2023-05-01,4620,472,0,0,307.49,7.42,0,0,108,1200,129600,85548
2023-05-02,4651,279,0,0,294.7,3.99,0,0,111,1200,133200,85548
2023-05-03,5527,374,0,0,345.92,3.51,0,0,96,1200,115200,85548
2023-05-04,4839,17808,0,0,301.45,74.62,0,0,71,1200,85200,85548
2023-05-05,4326,181131,0,0,322.83,151.74,0,0,62,1200,74400,85548
2023-05-06,3978,203101,0,0,253.91,163.5,0,0,51,1200,61200,85548
2023-05-07,4259,70912,0,0,352.58,168.14,0,0,60,1200,72000,85548
2023-05-08,3585,76971,0,0,262.5,160.73,0,0,72,1200,86400,85548
2023-05-09,3296,130366,0,0,279.14,147.96,0,0,83,1200,99600,85548
2023-05-10,3618,120657,0,0,245.24,131,0,0,53,1200,63600,85548
2023-05-11,3698,27251,0,0,280.42,146.75,0,0,47,1200,56400,85548
2023-05-12,4016,24100,0,0,254.21,161.21,0,0,39,1200,46800,85548
2023-05-13,14919,30143,0,0,394.34,156.39,0,0,37,1200,44400,85548
2023-05-14,9362,30551,0,0,270.1,154.87,0,0,31,1200,37200,85548
2023-05-15,14305,28121,0,0,301.98,136.56,0,0,43,1200,51600,85548
2023-05-16,20373,29596,0,0,320.15,158.94,0,0,61,1200,73200,85548
2023-05-17,16462,26797,0,0,365.67,147.69,0,0,45,1200,54000,85548
2023-05-18,13251,28520,0,0,270.84,150.71,0,0,59,1200,70800,85548
2023-05-19,11697,28324,0,0,326.19,157.56,0,0,32,1200,38400,85548
2023-05-20,16331,29154,0,0,255.25,154.79,0,0,34,1200,40800,85548
2023-05-21,8010,31334,0,0,351.45,146.84,0,0,28,1200,33600,85548
2023-05-22,6391,29561,0,0,293.33,155.25,0,0,49,1200,58800,85548
2023-05-23,13585,28044,0,0,336.06,149,0,0,53,1200,63600,85548
2023-05-24,15100,30324,0,0,320.85,168.69,0,0,44,1200,52800,85548
2023-05-25,20314,31604,0,0,329.32,135.18,0,0,32,1200,38400,85548
2023-05-26,18291,38195,0,0,264.73,136.86,0,0,36,1200,43200,85548
