time,google_impressions,display_impressions,ctv_impressions,meta_impressions,google_spend, display_spend,ctv_spend,meta_spend,lead_created_count,avg_lead_value,total_revenue
2024-01-01,7423,0,0,69253,181.05,0,0,50.18,16,1200,19200
2024-01-02,7159,0,0,61572,188,0,0,49.34,44,1200,52800
2024-01-03,7478,0,0,55800,171.61,0,0,48.63,50,1200,60000
2024-01-04,6526,0,0,54339,169.27,0,0,48.9,39,1200,46800
2024-01-05,14392,0,0,221450,485.74,0,0,215.85,34,1200,40800
2024-01-06,21703,0,0,324574,567.97,0,0,290.25,40,1200,48000
2024-01-07,14882,0,0,399128,454,0,0,329.88,44,1200,52800
2024-01-08,17621,0,0,364330,553.44,0,0,323.5,49,1200,58800
2024-01-09,13360,0,0,339315,534.61,0,0,316.61,47,1200,56400
2024-01-10,17727,0,0,308313,555.57,0,0,311.83,47,1200,56400
2024-01-11,19582,0,0,293726,493.91,0,0,313.2,31,1200,37200
2024-01-12,16667,0,0,295120,536.29,0,0,317.71,39,1200,46800
2024-01-13,19466,0,0,311600,612.5,0,0,324.99,49,1200,58800
2024-01-14,17564,0,0,343811,508.35,0,0,331.43,41,1200,49200
2024-01-15,17990,0,0,341767,488.83,0,0,324.59,40,1200,48000
2024-01-16,16641,0,0,325114,500.51,0,0,318.83,38,1200,45600
2024-01-17,16648,0,0,285612,503.86,0,0,312.69,26,1200,31200
2024-01-18,16464,0,0,273392,472.84,0,0,313.26,35,1200,42000
2024-01-19,16697,0,0,254133,496.78,0,0,315.12,30,1200,36000
2024-01-20,17857,0,0,266283,587.84,0,0,321.2,28,1200,33600
2024-01-21,17713,0,0,307502,506.56,0,0,331.85,46,1200,55200
2024-01-22,14818,0,0,292680,473.66,0,0,324.49,35,1200,42000
2024-01-23,15837,0,0,271807,463.91,0,0,318.82,47,1200,56400
2024-01-24,21657,0,0,260866,529.62,0,0,311.64,34,1200,40800
2024-01-25,27235,0,0,251288,472.19,0,0,312.5,36,1200,43200
2024-01-26,25662,0,0,247200,500.64,0,0,315.89,31,1200,37200
2024-01-27,31710,0,0,262988,488.1,0,0,322.36,39,1200,46800
2024-01-28,25321,0,0,300894,469.98,0,0,347.33,38,1200,45600
2024-01-29,20630,0,0,274674,456.35,0,0,321,41,1200,49200
2024-01-30,22229,0,0,261637,463.01,0,0,316.15,43,1200,51600
2024-01-31,19362,0,0,257642,402.16,0,0,309.74,42,1200,50400
2024-02-01,25270,0,0,268703,562.15,0,0,309.43,36,1200,43200
2024-02-02,25912,0,0,244925,485.58,0,0,305.25,40,1200,48000
2024-02-03,31820,0,0,267694,561.41,0,0,328,41,1200,49200
2024-02-04,32046,0,0,291560,613.53,0,0,331.32,33,1200,39600
2024-02-05,18920,0,0,278463,396.42,0,0,324.17,39,1200,46800
2024-02-06,24487,0,0,110307,357.61,0,0,125.76,48,1200,57600
2024-02-07,22368,0,0,57704,346.99,0,0,66.46,45,1200,54000
2024-02-08,24757,0,0,53366,560.12,0,0,66.86,43,1200,51600
2024-02-09,29583,0,0,52574,532.85,0,0,67.79,40,1200,48000
2024-02-10,30501,0,0,54499,518.47,0,0,69.64,50,1200,60000
2024-02-11,27218,0,0,58982,416.53,0,0,72.51,26,1200,31200
2024-02-12,22448,0,0,57042,447.99,0,0,71.9,42,1200,50400
2024-02-13,21072,0,0,55728,413.27,0,0,68.98,41,1200,49200
2024-02-14,20388,0,0,52580,408.34,0,0,68.81,26,1200,31200
2024-02-15,26943,0,0,54818,442.7,0,0,67.19,33,1200,39600
2024-02-16,23223,0,0,54718,398.99,0,0,68.84,41,1200,49200
2024-02-17,25459,0,0,57513,395.12,0,0,70.71,38,1200,45600
2024-02-18,28314,0,0,61076,403.51,0,0,72.33,55,1200,66000
2024-02-19,25935,0,0,58861,440.49,0,0,70.5,46,1200,55200
2024-02-20,27943,0,0,55899,546.3,0,0,69.45,56,1200,67200
2024-02-21,26255,0,0,52620,502.34,0,0,68.26,40,1200,48000
2024-02-22,27101,0,0,51821,439.78,0,0,68.21,47,1200,56400
2024-02-23,27431,0,0,51970,474.58,0,0,69.31,39,1200,46800
