time,lead_created_count,display_impressions, display_spend ,ctv_impressions, ctv_spend ,olv_impressions, olv_spend ,brandedsearch_impressions, brandedsearch_spend , nonbrandedsearch_impressions , nonbrandedsearch_spend ,pmax_impressions, pmax_spend , meta_impressions , meta_spend ,avg_lead_value,organic_impressions_search_console
2021-01-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-02,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-03,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-04,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-05,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-06,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-07,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-08,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-09,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-18,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
2021-01-30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,85548
