time,Google-Brand,Google-Non-Brand,Google-PMAX,Google-Discovery,Google-DemandGen,Bing-Brand,Bing-Non-Brand,Bing-Smart Shopping,Facebook-Prospecting,Facebook-Retargeting,Meta Audience Network Prospecting,Meta Audience Network Retargeting,IG-Prospecting,IG-Retargeting,DV360_DOOH,DV360_Youtube_CTV,"DV360_Youtube_
 Mobile-Desktop",Podcasts,Amazon Display Prospecting,Amazon Display Retargeting,Amazon OTT,Amazon TNF,Amazon Audio,Amazon CTV,Inuvo Display Gaming,Inuvo Display Sports,Inuvo Display Brand,Inuvo Display Conquesting,Inuvo_Display_Outdoor,Inuvo CTV Brand,Inuvo_CTV_Outdoor,Inuvo_CTV_PG_Sports,Inuvo CTV Conquesting,Nexen Display,NEXXEN_CTV,NEXXEN_Audio,Trade Desk Display,Trade Desk OLV,Live Sports Activations,Promo_Var,revenue
2022-01-01,5750.83,312.92,0,131.01,0,0,0,128.62,4346.14,2204.7,2134.9,0,0,0,0,0,1317.04,0,0.05,404.18,1835.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.1,0,0,0.35,187415.04
2022-01-02,5525.76,355.35,0,127.21,0,0,0,93.74,3762.44,2224.32,2136.5,0,0,0,0,0,1026.16,0,0,329.19,1849.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.7,0,0,0.35,207467.25
2022-01-03,5810.97,363.63,0,114.22,0,0,0,305.2,3808.16,2309.51,2168.7,0,0,0,0,0,913.04,0,0,375.58,1837.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.42,0,0,0.35,248257.42
2022-01-04,5598.87,281.7,0,49.19,0,0,0,300.84,3813.49,2290.12,2025.4,0,0,0,0,0,1292.8,0,2364.75,664.6,1839.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.57,0,0,0.35,247521.06
2022-01-05,4938.78,342.28,0,78.32,0,0,0,483.96,3964.03,2026.88,1986.7,0,0,0,0,0,1292.8,0,4118.82,717.18,1833.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.11,0,0,0.35,241747.62
2022-01-06,4930.07,332.57,0,142.01,0,0,0,379.32,3879.15,1871.96,1682.5,0,0,0,0,0,1527.12,0,4117.53,500.8,1835.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.9,0,0,0.35,266569.75
2022-01-07,5125.75,324.26,0,249.63,0,0,0,366.24,3969.18,1865.78,1853.1,0,0,0,0,0,1139.28,0,3847.65,501.89,1832.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.19,0,0,0.35,230879.87
2022-01-08,5704.21,336.52,0,153.5,0,0,0,407.66,3919.29,1858.36,1975.5,0,0,0,0,0,1147.36,0,2068.6,513.33,1837.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.19,0,0,0.35,238125.7
2022-01-09,4856.63,313.59,0,129.81,0,0,0,346.62,3913.82,1836.62,2223.4,0,0,0,0,0,1034.24,0,2064.33,500.83,1832.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.1,0,0,0.35,244341.47
2022-01-10,5382.22,135.53,0,128.81,0,0,0,429.46,2726.27,1271.96,2278.2,0,0,0,0,0,1341.28,0,2064.96,500.76,1834.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.44,0,0,0,218918.66
