time,Google-Brand_impressions,Google-Brand,Google-Non_brand_impressions,Google-Non-Brand,Google-PMAX_impressions,Google-PMAX,Google-Discovery_impressions,Google-Discovery,Google-DemandGen_impressions,Google-DemandGen,Bing-Brand_impressions,Bing-Brand,Bing-Non_brand_impressions,Bing-Non-Brand,Bing-Smart Shopping_impressions,Bing-Smart Shopping,Facebook-Prospecting_impressions,Facebook-Prospecting,Facebook-Retargeting_impressions,Facebook-Retargeting,Meta Audience Network Prospecting_impressions,Meta Audience Network Prospecting,Meta Audience Network Retargeting_impressions,Meta Audience Network Retargeting,IG-Prospecting_impressions,IG-Prospecting,IG-Retargeting_impressions,IG-Retargeting,DV360_DOOH_impressions,DV360_DOOH,DV360_Youtube_CTV_impressions,DV360_Youtube_CTV,DV360_Yotube__impressions,"DV360_Youtube_
 Mobile-Desktop",Podcasts_impressions,Podcasts,Amazon Display Prospecting_impressions,Amazon Display Prospecting,Amazon Display Retargeting_impressions,Amazon Display Retargeting,Amazon OTT_impressions,Amazon OTT,Amazon TNF_impressions,Amazon TNF,Amazon Audio_impressions,Amazon Audio,Amazon CTV_impressions,Amazon CTV,Inuvo Display Gaming_impressions,Inuvo Display Gaming,Inuvo Display Sports_impressions,Inuvo Display Sports,Inuvo Display Brand_impressions,Inuvo Display Brand,Inuvo Display Conquesting_impressions,Inuvo Display Conquesting,Inuvo_Display_Outdoor_impressions,Inuvo_Display_Outdoor,Inuvo CTV Brand_impressions,Inuvo CTV Brand,Inuvo_CTV_Outdoor_impressions,Inuvo_CTV_Outdoor,Inuvo_CTV_PG_Sports_impressions,Inuvo_CTV_PG_Sports,Inuvo CTV Conquesting_impressions,Inuvo CTV Conquesting,Nexen Display_impressions,Nexen Display,NEXXEN_CTV_impressions,NEXXEN_CTV,NEXXEN_Audio_impressions,NEXXEN_Audio,Trade Desk Display_impressions,Trade Desk Display,Trade Desk OLV_impressions,Trade Desk OLV,Live Sports Activations_impressions,Live Sports Activations,Promo_Var,revenue
2022-01-01,5750830,5750.83,312920,312.92,0,0,131010,131.01,0,0,0,0,0,0,128620,128.62,4346140,4346.14,2204700,2204.7,2134900,2134.9,0,0,0,0,0,0,0,0,0,0,1317040,1317.04,0,0,50,0.05,404180,404.18,1835730,1835.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526100,526.1,0,0,0,0,0.35,187415.04
2022-01-02,5525760,5525.76,355350,355.35,0,0,127210,127.21,0,0,0,0,0,0,93740,93.74,3762440,3762.44,2224320,2224.32,2136500,2136.5,0,0,0,0,0,0,0,0,0,0,1026160,1026.16,0,0,0,0,329190,329.19,1849180,1849.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454700,454.7,0,0,0,0,0.35,207467.25
2022-01-03,5810970,5810.97,363630,363.63,0,0,114220,114.22,0,0,0,0,0,0,305200,305.2,3808160,3808.16,2309510,2309.51,2168700,2168.7,0,0,0,0,0,0,0,0,0,0,913040,913.04,0,0,0,0,375580,375.58,1837040,1837.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502420,502.42,0,0,0,0,0.35,248257.42
2022-01-04,5598870,5598.87,281700,281.7,0,0,49190,49.19,0,0,0,0,0,0,300840,300.84,3813490,3813.49,2290120,2290.12,2025400,2025.4,0,0,0,0,0,0,0,0,0,0,1292800,1292.8,0,0,2364750,2364.75,664600,664.6,1839010,1839.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678570,678.57,0,0,0,0,0.35,247521.06
2022-01-05,4938780,4938.78,342280,342.28,0,0,78320,78.32,0,0,0,0,0,0,483960,483.96,3964030,3964.03,2026880,2026.88,1986700,1986.7,0,0,0,0,0,0,0,0,0,0,1292800,1292.8,0,0,4118820,4118.82,717180,717.18,1833750,1833.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497110,497.11,0,0,0,0,0.35,241747.62
2022-01-06,4930070,4930.07,332570,332.57,0,0,142010,142.01,0,0,0,0,0,0,379320,379.32,3879150,3879.15,1871960,1871.96,1682500,1682.5,0,0,0,0,0,0,0,0,0,0,1527120,1527.12,0,0,4117530,4117.53,500800,500.8,1835890,1835.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590900,590.9,0,0,0,0,0.35,266569.75
2022-01-07,5125750,5125.75,324260,324.26,0,0,249630,249.63,0,0,0,0,0,0,366240,366.24,3969180,3969.18,1865780,1865.78,1853100,1853.1,0,0,0,0,0,0,0,0,0,0,1139280,1139.28,0,0,3847650,3847.65,501890,501.89,1832780,1832.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559190,559.19,0,0,0,0,0.35,230879.87
2022-01-08,5704210,5704.21,336520,336.52,0,0,153500,153.5,0,0,0,0,0,0,407660,407.66,3919290,3919.29,1858360,1858.36,1975500,1975.5,0,0,0,0,0,0,0,0,0,0,1147360,1147.36,0,0,2068600,2068.6,513330,513.33,1837510,1837.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441190,441.19,0,0,0,0,0.35,238125.7
2022-01-09,4856630,4856.63,313590,313.59,0,0,129810,129.81,0,0,0,0,0,0,346620,346.62,3913820,3913.82,1836620,1836.62,2223400,2223.4,0,0,0,0,0,0,0,0,0,0,1034240,1034.24,0,0,2064330,2064.33,500830,500.83,1832120,1832.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405100,405.1,0,0,0,0,0.35,244341.47
2022-01-10,5382220,5382.22,135530,135.53,0,0,128810,128.81,0,0,0,0,0,0,429460,429.46,2726270,2726.27,1271960,1271.96,2278200,2278.2,0,0,0,0,0,0,0,0,0,0,1341280,1341.28,0,0,2064960,2064.96,500760,500.76,1834310,1834.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465440,465.44,0,0,0,0,0,218918.66
