time,Google_impressions,Google_Spend,Bing_Impressions,Bing_Spend,Facebook_Impressions,Facebook_Spend,DV360_Impressions,DV360_spend,Podcasts_impressions,Podcasts-spend,Amazon_Impressions,Amazon_spend,Inuvo_Impressions,Inuvo_Spend,Nexen_Impressions,Nexen_Spend,Trade Desk_Impressions,Trade Desk_Spend,Live Sports Activations_impressions,Live Sports Activations,Promo_Var,revenue
2022-01-01,6194760,6195,128620,128.62,8685740,8685.74,1317040,1317.04,0,0,2239960,2239.96,0,0,0,0,526100,526.1,0,0,0.35,187415.04
2022-01-02,6008320,6008,93740,93.74,8123260,8123.26,1026160,1026.16,0,0,2178370,2178.37,0,0,0,0,454700,454.7,0,0,0.35,207467.25
2022-01-03,6288820,6289,305200,305.2,8286370,8286.37,913040,913.04,0,0,2212620,2212.62,0,0,0,0,502420,502.42,0,0,0.35,248257.42
2022-01-04,5929760,5930,300840,300.84,8129010,8129.01,1292800,1292.8,0,0,4868360,4868.36,0,0,0,0,678570,678.57,0,0,0.35,247521.06
2022-01-05,5359380,5359,483960,483.96,7977610,7977.61,1292800,1292.8,0,0,6669750,6669.75,0,0,0,0,497110,497.11,0,0,0.35,241747.62
2022-01-06,5404650,5405,379320,379.32,7433610,7433.61,1527120,1527.12,0,0,6454220,6454.22,0,0,0,0,590900,590.9,0,0,0.35,266569.75
2022-01-07,5699640,5700,366240,366.24,7688060,7688.06,1139280,1139.28,0,0,6182320,6182.32,0,0,0,0,559190,559.19,0,0,0.35,230879.87
2022-01-08,6194230,6194,407660,407.66,7753150,7753.15,1147360,1147.36,0,0,4419440,4419.44,0,0,0,0,441190,441.19,0,0,0.35,238125.7
2022-01-09,5300030,5300,346620,346.62,7973840,7973.84,1034240,1034.24,0,0,4397280,4397.28,0,0,0,0,405100,405.1,0,0,0.35,244341.47
2022-01-10,5646560,5647,429460,429.46,6276430,6276.43,1341280,1341.28,0,0,4400030,4400.03,0,0,0,0,465440,465.44,0,0,0,218918.66
2022-01-11,5551680,5552,407660,407.66,6306570,6306.57,1276640,1276.64,0,0,4402030,4402.03,0,0,0,0,511010,511.01,0,0,0,221222.88
2022-01-12,5428230,5428,390220,390.22,6681170,6681.17,1058480,1058.48,0,0,4400360,4400.36,0,0,0,0,467180,467.18,0,0,0,232076.04
2022-01-13,4994190,4994,390220,390.22,7745390,7745.39,1066560,1066.56,0,0,4401230,4401.23,0,0,0,0,497380,497.38,0,0,0,216484.36
2022-01-14,4519430,4519,364060,364.06,8511980,8511.98,1098880,1098.88,0,0,4401380,4401.38,0,0,0,0,601840,601.84,0,0,0.2,389010.15
2022-01-15,4337870,4338,331360,331.36,7569550,7569.55,1236240,1236.24,0,0,4400840,4400.84,0,0,0,0,464910,464.91,0,0,0.2,322553.13
2022-01-16,4247000,4247,194020,194.02,7591450,7591.45,1405920,1405.92,0,0,4391000,4391,0,0,0,0,482600,482.6,0,0,0.2,264599.99
2022-01-17,4381440,4381,276860,276.86,7540210,7540.21,1131200,1131.2,0,0,4410950,4410.95,0,0,0,0,437510,437.51,0,0,0.2,267872.79
2022-01-18,4374440,4374,272500,272.5,7424510,7424.51,589840,589.84,0,0,4401240,4401.24,0,0,0,0,552540,552.54,0,0,0.2,268440.43
2022-01-19,4548700,4549,189660,189.66,7681550,7681.55,193920,193.92,0,0,4398580,4398.58,0,0,0,0,736850,736.85,0,0,0.2,274943.37
2022-01-20,4330270,4330,294300,294.3,7957230,7957.23,64640,64.64,0,0,4406450,4406.45,0,0,0,0,1164640,1164.64,0,0,0.2,304595.78
2022-01-21,4124790,4125,307380,307.38,7691390,7691.39,40400,40.4,0,0,4404240,4404.24,0,0,0,0,948280,948.28,0,0,0.2,259375.39
2022-01-22,4116860,4117,320460,320.46,7768700,7768.7,96960,96.96,0,0,4401170,4401.17,0,0,0,0,689580,689.58,0,0,0.2,250769.13
2022-01-23,3820630,3821,377140,377.14,7832680,7832.68,121200,121.2,0,0,4402000,4402,0,0,0,0,824120,824.12,0,0,0.2,267178.34
2022-01-24,4179070,4179,348800,348.8,7800150,7800.15,8080,8.08,0,0,4396820,4396.82,0,0,0,0,764350,764.35,0,0,0.2,290994.82
2022-01-25,4720020,4720,409840,409.84,7796920,7796.92,32320,32.32,0,0,4400130,4400.13,0,0,0,0,1413360,1413.36,0,0,0,228584.39
2022-01-26,5062800,5063,372780,372.78,7501740,7501.74,24240,24.24,0,0,4399790,4399.79,0,0,0,0,1800160,1800.16,0,0,0,218052.74
2022-01-27,4962880,4963,357520,357.52,7826870,7826.87,24240,24.24,0,0,4399370,4399.37,0,0,0,0,1683480,1683.48,0,0,0,216955.23
2022-01-28,4837410,4837,303020,303.02,7837130,7837.13,16160,16.16,0,0,4399050,4399.05,0,0,0,0,1644630,1644.63,0,0,0.3,244599.07
